Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Disease,Critical
Difficulties in stooling,Fever,Frequent Infection,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Rashes,Confusion,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Muscle Aches,NIL,Disorientation,Typhoid,Critical
Painful Urination,Hunger,Muscle Aches,Bloody diarrhea,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Headache,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Fever,Muscle Aches,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Muscle Aches,NIL,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Hunger,Swollen genitals,Rashes,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Hunger,Muscle Aches,Rose spots,Seizures,Diabetes,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Hunger,Headache,NIL,Seizures,Diabetes,Critical
Painful Urination,Hunger,Abdominal Pain,Rose spots,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Fever,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Tired,Frequent Infection,NIL,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Tired,Swollen genitals,Bloody diarrhea,NIL,Diabetes,Critical
Difficulties in stooling,Tired,Headache,NIL,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Fever,Frequent Infection,Swollen testicles,Disorientation,Typhoid,Critical
"Yellow,green discharge",Hunger,Headache,Rashes,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,NIL,Disorientation,Gonorrhea,Critical
Painful Urination,Hunger,Frequent Infection,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Tired,Swollen genitals,Swollen testicles,Seizures,Typhoid,Critical
Frequent Urination,Tired,Frequent Infection,NIL,Disorientation,Diabetes,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Swollen testicles,Confusion,Typhoid,Critical
Frequent Urination,Hunger,Headache,Rashes,Cough and breathing difficulties,Diabetes,Critical
Painful Urination,Fever,Abdominal Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Urge to urinate,Headache,NIL,Seizures,Gonorrhea,Critical
Difficulties in stooling,Tired,Frequent Infection,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Rose spots,Disorientation,Typhoid,Critical
Frequent Urination,Fever,Anal Itching and Pain,Rose spots,Seizures,Diabetes,Critical
Painful Urination,Fever,Swollen genitals,Rashes,Seizures,Typhoid,Critical
Difficulties in stooling,Hunger,Blurred Vision,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Fever,Abdominal Pain,NIL,Confusion,Typhoid,Critical
Difficulties in stooling,Fever,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Tired,Headache,Rose spots,Confusion,Diabetes,Critical
Frequent Urination,Tired,Abdominal Pain,Bloody diarrhea,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Fever,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
Frequent Urination,Fever,Anal Itching and Pain,Rose spots,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Fever,Frequent Infection,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rashes,NIL,Gonorrhea,Critical
Difficulties in stooling,Tired,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Fever,Swollen genitals,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Hunger,Anal Itching and Pain,Rashes,Confusion,Diabetes,Critical
Painful Urination,Fever,Frequent Infection,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Confusion,Typhoid,Critical
Painful Urination,Tired,Headache,NIL,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Fever,Blurred Vision,Swollen testicles,Disorientation,Diabetes,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Rose spots,Disorientation,Gonorrhea,Critical
Painful Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Painful Urination,Hunger,Swollen genitals,Swollen testicles,Confusion,Typhoid,Critical
Frequent Urination,Fever,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Frequent Urination,Urge to urinate,Headache,Bloody diarrhea,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Fever,Muscle Aches,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Headache,NIL,Disorientation,Typhoid,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Rashes,NIL,Typhoid,Critical
Painful Urination,Fever,Abdominal Pain,NIL,Confusion,Typhoid,Critical
Frequent Urination,Fever,Abdominal Pain,NIL,Seizures,Diabetes,Critical
Difficulties in stooling,Hunger,Muscle Aches,Rose spots,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Confusion,Gonorrhea,Critical
Painful Urination,Tired,Frequent Infection,Bloody diarrhea,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Frequent Infection,Bloody diarrhea,Confusion,Typhoid,Critical
"Yellow,green discharge",Tired,Frequent Infection,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Fever,Abdominal Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Urge to urinate,Muscle Aches,NIL,Seizures,Gonorrhea,Critical
Frequent Urination,Fever,Abdominal Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Difficulties in stooling,Tired,Blurred Vision,NIL,Seizures,Typhoid,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Fever,Headache,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,Cough and breathing difficulties,Gonorrhea,Critical
Painful Urination,Fever,Frequent Infection,Swollen testicles,NIL,Typhoid,Critical
Painful Urination,Fever,Abdominal Pain,NIL,Disorientation,Typhoid,Critical
Difficulties in stooling,Tired,Frequent Infection,NIL,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Swollen genitals,Rose spots,Confusion,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Urge to urinate,Swollen genitals,Swollen testicles,NIL,Diabetes,Critical
Painful Urination,Hunger,Swollen genitals,NIL,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Tired,Anal Itching and Pain,Swollen testicles,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Muscle Aches,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Bloody diarrhea,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Bloody diarrhea,Confusion,Typhoid,Critical
Frequent Urination,Tired,Swollen genitals,Swollen testicles,Disorientation,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Swollen testicles,Disorientation,Gonorrhea,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Rashes,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Fever,Swollen genitals,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,Seizures,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Rose spots,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Abdominal Pain,Rashes,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Disorientation,Gonorrhea,Critical
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,NIL,Gonorrhea,Critical
Difficulties in stooling,Fever,Abdominal Pain,Excessive Urination and Thirst,Seizures,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Bloody diarrhea,NIL,Gonorrhea,Critical
Frequent Urination,Fever,Headache,Rashes,NIL,Diabetes,Critical
Painful Urination,Fever,Abdominal Pain,Swollen testicles,Seizures,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Fever,Headache,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Abdominal Pain,NIL,Slow heart rate and pulse,Diabetes,Critical
Difficulties in stooling,Fever,Headache,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Bloody diarrhea,NIL,Gonorrhea,Critical
Painful Urination,Fever,Headache,Rashes,Cough and breathing difficulties,Typhoid,Critical
Difficulties in stooling,Hunger,Swollen genitals,NIL,Confusion,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Muscle Aches,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Hunger,Blurred Vision,Rose spots,Seizures,Typhoid,Critical
Difficulties in stooling,Tired,Swollen genitals,Rashes,Confusion,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Headache,Bloody diarrhea,NIL,Gonorrhea,Critical
"Yellow,green discharge",Fever,Abdominal Pain,NIL,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Hunger,Muscle Aches,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Tired,Frequent Infection,Swollen testicles,NIL,Typhoid,Critical
Frequent Urination,Fever,Blurred Vision,NIL,Severe pelvic pain,Diabetes,Critical
Painful Urination,Tired,Blurred Vision,NIL,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Tired,Headache,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Urge to urinate,Anal Itching and Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Difficulties in stooling,Hunger,Muscle Aches,Rashes,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,NIL,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,NIL,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Fever,Headache,Rashes,Confusion,Typhoid,Critical
Painful Urination,Tired,Abdominal Pain,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Swollen testicles,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Fever,Blurred Vision,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Tired,Frequent Infection,Excessive Urination and Thirst,Disorientation,Diabetes,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Bloody diarrhea,NIL,Gonorrhea,Critical
Painful Urination,Urge to urinate,Abdominal Pain,NIL,NIL,Typhoid,Not Critical
"Yellow,green discharge",Fever,Muscle Aches,NIL,NIL,Diabetes,Not Critical
Painful Urination,Fever,Muscle Aches,Rose spots,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Tired,Swollen genitals,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Fever,Swollen genitals,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Diabetes,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,NIL,Confusion,Typhoid,Critical
Frequent Urination,Hunger,Anal Itching and Pain,Rose spots,Severe pelvic pain,Diabetes,Critical
Painful Urination,Fever,Blurred Vision,Bloody diarrhea,NIL,Typhoid,Critical
Painful Urination,Hunger,Muscle Aches,NIL,Disorientation,Typhoid,Critical
Difficulties in stooling,Hunger,Headache,NIL,Cough and breathing difficulties,Typhoid,Critical
Frequent Urination,Fever,Abdominal Pain,Rose spots,Confusion,Diabetes,Critical
Frequent Urination,Tired,Anal Itching and Pain,NIL,Confusion,Diabetes,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Rashes,Disorientation,Typhoid,Critical
Painful Urination,Tired,Frequent Infection,Swollen testicles,Confusion,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,NIL,Gonorrhea,Not Critical
Frequent Urination,Fever,Anal Itching and Pain,Rashes,NIL,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,Swollen testicles,Seizures,Gonorrhea,Critical
Difficulties in stooling,Tired,Swollen genitals,Rashes,NIL,Typhoid,Critical
Difficulties in stooling,Tired,Blurred Vision,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Tired,Abdominal Pain,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Fever,Swollen genitals,Rashes,NIL,Typhoid,Critical
Painful Urination,Hunger,Swollen genitals,NIL,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Fever,Swollen genitals,NIL,NIL,Diabetes,Not Critical
Painful Urination,Hunger,Muscle Aches,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Tired,Muscle Aches,Rose spots,Confusion,Typhoid,Critical
Painful Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Urge to urinate,Frequent Infection,Rose spots,Slow heart rate and pulse,Diabetes,Critical
Frequent Urination,Hunger,Frequent Infection,NIL,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Tired,Headache,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,Severe pelvic pain,Gonorrhea,Critical
Frequent Urination,Tired,Swollen genitals,Rashes,NIL,Diabetes,Critical
Frequent Urination,Hunger,Swollen genitals,NIL,Confusion,Diabetes,Critical
Difficulties in stooling,Tired,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Tired,Headache,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Swollen testicles,Disorientation,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Headache,NIL,Disorientation,Gonorrhea,Critical
"Yellow,green discharge",Tired,Anal Itching and Pain,Bloody diarrhea,Confusion,Typhoid,Critical
Frequent Urination,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Tired,Swollen genitals,Rose spots,Disorientation,Typhoid,Critical
Painful Urination,Urge to urinate,Frequent Infection,NIL,Confusion,Gonorrhea,Critical
Frequent Urination,Fever,Frequent Infection,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Muscle Aches,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Rose spots,Confusion,Gonorrhea,Critical
Difficulties in stooling,Tired,Swollen genitals,Rashes,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Tired,Headache,NIL,Confusion,Typhoid,Critical
Painful Urination,Tired,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Urge to urinate,Blurred Vision,NIL,Seizures,Gonorrhea,Critical
Difficulties in stooling,Fever,Blurred Vision,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,NIL,Seizures,Gonorrhea,Critical
"Yellow,green discharge",Tired,Swollen genitals,Swollen testicles,NIL,Typhoid,Critical
Difficulties in stooling,Hunger,Swollen genitals,Bloody diarrhea,Seizures,Typhoid,Critical
Frequent Urination,Tired,Abdominal Pain,Swollen testicles,Cough and breathing difficulties,Diabetes,Critical
Frequent Urination,Fever,Abdominal Pain,NIL,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,Rashes,Slow heart rate and pulse,Gonorrhea,Critical
Painful Urination,Tired,Headache,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Hunger,Muscle Aches,Rashes,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Fever,Blurred Vision,Rashes,NIL,Typhoid,Critical
Difficulties in stooling,Hunger,Headache,NIL,NIL,Diabetes,Not Critical
Difficulties in stooling,Fever,Headache,NIL,Cough and breathing difficulties,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Hunger,Blurred Vision,Bloody diarrhea,Seizures,Diabetes,Critical
"Yellow,green discharge",Tired,Frequent Infection,NIL,NIL,Diabetes,Not Critical
Painful Urination,Urge to urinate,Abdominal Pain,NIL,Seizures,Gonorrhea,Critical
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,NIL,Disorientation,Gonorrhea,Critical
Painful Urination,Fever,Swollen genitals,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Difficulties in stooling,Hunger,Blurred Vision,NIL,Disorientation,Typhoid,Critical
Painful Urination,Fever,Muscle Aches,NIL,Disorientation,Typhoid,Critical
"Yellow,green discharge",Urge to urinate,Frequent Infection,Rose spots,NIL,Gonorrhea,Critical
Difficulties in stooling,Urge to urinate,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Gonorrhea,Critical
Frequent Urination,Fever,Frequent Infection,Swollen testicles,NIL,Diabetes,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Rashes,NIL,Diabetes,Critical
Frequent Urination,Fever,Swollen genitals,Bloody diarrhea,Disorientation,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Swollen genitals,NIL,Seizures,Gonorrhea,Critical
Frequent Urination,Tired,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,Rashes,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,NIL,Seizures,Typhoid,Critical
Frequent Urination,Tired,Swollen genitals,Swollen testicles,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,NIL,Seizures,Gonorrhea,Critical
Painful Urination,Urge to urinate,Swollen genitals,Rashes,Seizures,Gonorrhea,Critical
Painful Urination,Hunger,Blurred Vision,Rashes,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Swollen genitals,Excessive Urination and Thirst,NIL,Diabetes,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Rashes,Seizures,Gonorrhea,Critical
Frequent Urination,Tired,Blurred Vision,NIL,Confusion,Diabetes,Critical
Difficulties in stooling,Tired,Headache,NIL,NIL,Diabetes,Not Critical
Frequent Urination,Urge to urinate,Frequent Infection,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Fever,Abdominal Pain,Swollen testicles,NIL,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Fever,Frequent Infection,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Anal Itching and Pain,NIL,Slow heart rate and pulse,Typhoid,Critical
Difficulties in stooling,Hunger,Frequent Infection,NIL,NIL,Gonorrhea,Not Critical
Difficulties in stooling,Hunger,Blurred Vision,Rose spots,Seizures,Typhoid,Critical
Painful Urination,Tired,Blurred Vision,NIL,Seizures,Typhoid,Critical
Difficulties in stooling,Fever,Frequent Infection,Rashes,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Tired,Abdominal Pain,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Tired,Blurred Vision,NIL,NIL,Typhoid,Not Critical
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rashes,NIL,Gonorrhea,Critical
"Yellow,green discharge",Tired,Headache,Excessive Urination and Thirst,NIL,Diabetes,Critical
"Yellow,green discharge",Hunger,Frequent Infection,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Fever,Frequent Infection,Rashes,Cough and breathing difficulties,Typhoid,Critical
Painful Urination,Tired,Blurred Vision,NIL,Confusion,Typhoid,Critical
Frequent Urination,Tired,Blurred Vision,Bloody diarrhea,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Hunger,Abdominal Pain,Rose spots,Seizures,Diabetes,Critical
Painful Urination,Hunger,Headache,Rashes,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Fever,Headache,Swollen testicles,Confusion,Typhoid,Critical
"Yellow,green discharge",Tired,Abdominal Pain,NIL,NIL,Gonorrhea,Not Critical
Painful Urination,Fever,Blurred Vision,Excessive Urination and Thirst,Cough and breathing difficulties,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Blurred Vision,Swollen testicles,Slow heart rate and pulse,Gonorrhea,Critical
"Yellow,green discharge",Tired,Headache,NIL,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Bloody diarrhea,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Headache,NIL,Severe pelvic pain,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Abdominal Pain,NIL,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Tired,Abdominal Pain,NIL,Severe pelvic pain,Diabetes,Critical
Difficulties in stooling,Fever,Swollen genitals,Bloody diarrhea,Confusion,Typhoid,Critical
Painful Urination,Fever,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Typhoid,Critical
Frequent Urination,Tired,Blurred Vision,NIL,Slow heart rate and pulse,Diabetes,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Rashes,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Bloody diarrhea,Cough and breathing difficulties,Gonorrhea,Critical
Difficulties in stooling,Hunger,Frequent Infection,Rose spots,Severe pelvic pain,Gonorrhea,Critical
Painful Urination,Tired,Blurred Vision,Rashes,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Blurred Vision,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Fever,Swollen genitals,Swollen testicles,Seizures,Typhoid,Critical
Difficulties in stooling,Urge to urinate,Muscle Aches,Rashes,NIL,Gonorrhea,Critical
Frequent Urination,Hunger,Blurred Vision,Rose spots,Confusion,Diabetes,Critical
Difficulties in stooling,Urge to urinate,Headache,NIL,Slow heart rate and pulse,Gonorrhea,Critical
Frequent Urination,Fever,Abdominal Pain,Swollen testicles,Confusion,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,NIL,Seizures,Diabetes,Critical
Frequent Urination,Hunger,Headache,Swollen testicles,Seizures,Diabetes,Critical
Painful Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,NIL,Diabetes,Critical
Difficulties in stooling,Hunger,Abdominal Pain,Bloody diarrhea,Disorientation,Typhoid,Critical
Painful Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,Severe pelvic pain,Gonorrhea,Critical
"Yellow,green discharge",Hunger,Anal Itching and Pain,Rashes,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Hunger,Abdominal Pain,Swollen testicles,NIL,Typhoid,Critical
"Yellow,green discharge",Hunger,Muscle Aches,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Painful Urination,Hunger,Blurred Vision,NIL,Slow heart rate and pulse,Typhoid,Critical
"Yellow,green discharge",Fever,Blurred Vision,Rose spots,NIL,Typhoid,Critical
Painful Urination,Tired,Frequent Infection,Bloody diarrhea,NIL,Typhoid,Critical
Frequent Urination,Tired,Frequent Infection,Bloody diarrhea,Confusion,Diabetes,Critical
Difficulties in stooling,Tired,Muscle Aches,Excessive Urination and Thirst,Confusion,Diabetes,Critical
"Yellow,green discharge",Urge to urinate,Muscle Aches,Swollen testicles,Cough and breathing difficulties,Gonorrhea,Critical
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Disorientation,Typhoid,Critical
Frequent Urination,Hunger,Headache,Swollen testicles,Disorientation,Diabetes,Critical
Difficulties in stooling,Fever,Abdominal Pain,Bloody diarrhea,NIL,Typhoid,Critical
"Yellow,green discharge",Fever,Blurred Vision,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Frequent Urination,Urge to urinate,Headache,Rose spots,Cough and breathing difficulties,Diabetes,Critical
Difficulties in stooling,Tired,Anal Itching and Pain,NIL,Disorientation,Typhoid,Critical
Frequent Urination,Urge to urinate,Abdominal Pain,Swollen testicles,Seizures,Diabetes,Critical
Frequent Urination,Fever,Anal Itching and Pain,Excessive Urination and Thirst,Severe pelvic pain,Diabetes,Critical
Painful Urination,Hunger,Swollen genitals,NIL,NIL,Diabetes,Not Critical
"Yellow,green discharge",Tired,Muscle Aches,Rose spots,Disorientation,Typhoid,Critical
"Yellow,green discharge",Fever,Blurred Vision,NIL,Confusion,Typhoid,Critical
"Yellow,green discharge",Tired,Frequent Infection,NIL,Seizures,Typhoid,Critical
Frequent Urination,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Diabetes,Critical
Painful Urination,Urge to urinate,Swollen genitals,Rashes,Severe pelvic pain,Gonorrhea,Critical
